HGNC_Approved_Symbol	HGNC_ID	pLI	LOEUF_gnomAD_v2.1.1	pHaplo	HI_score	Enhancer_Gnocchi	Mean_AlphaMissense_pathogenicity	Genovo_LOEUF_corrected	Curated_by_ClinGenSVI_group	Curated_from_G2P
KCNH4	HGNC:6253	0.99984	0.215	0.758208006	NA	3.077741783	0.394573979	0.180027208	FALSE	FALSE
RNF2	HGNC:10061	0.99743	0.171	0.807344632	NA	1.052521904	0.642758503	0.141192636	FALSE	FALSE
FKBP10	HGNC:18169	2.38E-06	0.85	0.158550088	NA	1.651424536	0.459211204	1.05895797	TRUE	TRUE
TXNL4A	HGNC:30551	7.23E-05	1.822	0.959474653	NA	NA	0.782275707	1.810502252	FALSE	TRUE
CHMP1A	HGNC:8740	0.00028502	1.177	0.253408312	30	0.3464358	0.505187879	1.086806753	FALSE	TRUE
ODC1	HGNC:8109	0.16966	0.543	0.720313814	NA	4.450496715	0.533880286	0.349137372	FALSE	TRUE
ACOX1	HGNC:119	0.062095	0.462	0.784243949	30	2.559156309	0.456761232	0.429424922	FALSE	TRUE
DPYSL5	HGNC:20637	0.99991	0.113	0.946383941	NA	5.260754805	NA	0.092018703	FALSE	FALSE
TASP1	HGNC:15859	0.60781	0.424	0.84155018	NA	2.714125756	0.512798841	0.373173388	FALSE	TRUE
CYP24A1	HGNC:2602	3.20E-23	1.542	0.458930272	30	2.811425	0.313213711	1.649762322	TRUE	FALSE
UBE3B	HGNC:13478	4.19E-08	0.545	0.678278691	30	NA	0.504213078	0.536439691	FALSE	TRUE
NR0B1	HGNC:7960	0.97025	0.275	NA	3	NA	0.325045655	NA	FALSE	TRUE
GUCY2D	HGNC:4689	6.46E-10	0.748	0.462301962	NA	4.860120671	0.418651116	0.892816386	TRUE	TRUE
APC2	HGNC:24036	NA	NA	0.814007206	NA	3.167600467	0.379521407	NA	FALSE	TRUE
CDKN1B	HGNC:1785	0.62376	0.645	0.781568687	3	3.707626708	0.347617423	0.498550363	FALSE	TRUE
XPO6	HGNC:19733	1	0.082	0.970151768	NA	3.333754562	0.536444974	0.013368589	FALSE	FALSE
DHPS	HGNC:2869	0.00016305	0.873	0.13846552	NA	NA	0.517307834	1.23080676	TRUE	FALSE
EPB41L4B	HGNC:19818	0.99972	0.237	0.970458019	NA	3.994813957	0.44176195	0.124805465	FALSE	FALSE
IL6ST	HGNC:6021	0.99978	0.228	0.906992291	NA	2.602517104	0.352373506	0.142386707	FALSE	FALSE
ATRNL1	HGNC:29063	0.99915	0.266	0.881519154	NA	2.948119116	0.532442266	0.268556624	FALSE	FALSE
PLXNC1	HGNC:9106	0.99811	0.273	0.997047616	NA	3.049091549	0.424401463	0.285622436	FALSE	FALSE
HNRNPK	HGNC:5044	0.99998	0.096	0.995533105	3	0.801218642	0.649489159	0.028596564	TRUE	TRUE
PIK3AP1	HGNC:30034	1	0.122	0.954679828	NA	3.123890498	0.394671897	0.039801664	FALSE	FALSE
NSDHL	HGNC:13398	0.96393	0.289	NA	3	NA	0.417708452	NA	FALSE	TRUE
MOCS1	HGNC:7190	NA	NA	0.634723735	NA	3.734981572	0.395379355	1.163089986	FALSE	TRUE
PEX7	HGNC:8860	8.18E-13	1.416	0.533777067	30	1.322998389	0.482992017	1.5043181	TRUE	TRUE
FNDC3A	HGNC:20296	0.99998	0.221	0.666234742	NA	1.189025621	0.416639626	0.115055337	FALSE	FALSE
TBR1	HGNC:11590	0.99901	0.194	0.987120896	3	5.263384685	0.477984319	0.065996501	FALSE	TRUE
DDB1	HGNC:2717	0.99979	0.243	0.941641925	NA	2.606173607	0.637884241	0.134345966	FALSE	FALSE
MEIS1	HGNC:7000	0.99951	0.136	0.998139872	NA	4.625179804	0.65898447	0.08109608	FALSE	FALSE
LMX1B	HGNC:6654	NA	NA	0.996419013	3	4.961768385	0.567799041	0.084668917	TRUE	TRUE
SOX11	HGNC:11191	0.85844	0.44	0.979845969	3	3.652015137	0.539868501	NA	FALSE	TRUE
COX15	HGNC:2263	1.10E-13	1.327	0.542884203	30	2.632254031	0.458081646	1.29539293	TRUE	TRUE
COL13A1	HGNC:2190	NA	NA	0.512991004	NA	2.255343046	0.336534663	NA	TRUE	TRUE
GRID1	HGNC:4575	0.99931	0.244	0.95691419	0	2.702480226	0.509414553	0.178013378	FALSE	FALSE
TAF8	HGNC:17300	7.32E-13	1.575	0.178209957	NA	4.550751925	0.630877168	2.365581497	FALSE	TRUE
ETV3	HGNC:3492	0.97596	0.299	0.746495936	NA	1.893823422	0.41275871	0.301682653	FALSE	FALSE
MYO5A	HGNC:7602	NA	NA	0.887203621	30	1.595554517	NA	0.234977315	FALSE	TRUE
MGAT2	HGNC:7045	0.034151	0.716	0.334074968	NA	0.148952747	0.478202025	NA	FALSE	TRUE
SBDS	HGNC:19440	6.21E-05	1.225	0.416940859	NA	0.97982842	0.559173688	1.174690555	TRUE	TRUE
SPRTN	HGNC:25356	0.97354	0.304	0.990684147	NA	1.790175071	0.331978734	0.440802146	FALSE	FALSE
SUCLA2	HGNC:11448	NA	NA	0.292960207	NA	0.696400144	NA	NA	TRUE	FALSE
KDM1A	HGNC:29079	0.99667	0.276	0.982001519	NA	3.482874157	0.679934536	0.254398122	FALSE	TRUE
MVK	HGNC:7530	0.16679	0.545	0.717565943	NA	3.093547654	0.356127261	0.577988566	FALSE	TRUE
STRA6	HGNC:30650	NA	NA	0.587439935	NA	2.088187561	NA	0.990940981	TRUE	TRUE
SHH	HGNC:10848	0.98258	0.242	0.998589551	3	6.087921294	0.55361244	0.220591742	FALSE	TRUE
ORC6	HGNC:17151	3.36E-07	1.393	0.36028341	30	3.428435104	0.280620161	1.308355469	FALSE	TRUE
ZBTB47	HGNC:26955	0.99983	0.12	0.835738278	NA	3.401754641	0.507374095	0.333740664	FALSE	FALSE
DYNC1LI1	HGNC:18745	0.96348	0.328	0.695083913	NA	2.158500312	0.445868116	0.242449851	FALSE	FALSE
MMADHC	HGNC:25221	NA	NA	0.42555794	30	0.612569008	0.439085189	0.813688286	FALSE	TRUE
DUOX2	HGNC:13273	NA	NA	0.37620677	NA	1.868988718	NA	1.189610961	TRUE	FALSE
TMEM147	HGNC:30414	0.00014005	1.071	0.102970835	NA	2.955893232	0.68444604	1.173975798	FALSE	TRUE
ABCA2	HGNC:32	1	0.169	0.79055003	NA	1.520249303	0.552309035	0.184038328	TRUE	FALSE
CTNND2	HGNC:2516	1	0.098	0.965519822	1	4.175489447	0.51690868	0.061049223	FALSE	TRUE
HSP90B1	HGNC:12028	0.9972	0.271	0.99091763	NA	NA	0.572855406	0.304859592	FALSE	FALSE
SLTM	HGNC:20709	0.99785	0.274	0.990878905	NA	-0.069008505	0.405110898	0.175551104	FALSE	FALSE
MYT1	HGNC:7622	0.97791	0.304	0.97619889	NA	5.295544824	NA	0.203145699	FALSE	FALSE
NDST1	HGNC:7680	0.99995	0.187	0.790252811	NA	3.560545867	0.587064602	0.158393601	FALSE	FALSE
VPS4A	HGNC:13488	0.94474	0.347	0.574418988	NA	2.246793865	0.61379633	0.353012858	FALSE	FALSE
PCDH15	HGNC:14674	NA	NA	0.070715014	30	1.39985808	0.480682076	NA	FALSE	TRUE
GTF2H1	HGNC:4655	0.98982	0.291	0.983316106	NA	2.308824426	0.537148975	0.208339945	FALSE	FALSE
KIF26B	HGNC:25484	0.99999	0.211	0.987735155	NA	5.04017626	0.385174121	0.214183406	FALSE	FALSE
SIX6	HGNC:10892	0.51776	0.595	0.963960018	0	6.184456512	0.645987213	0.656506039	FALSE	TRUE
TENM4	HGNC:29945	1	0.173	0.986399487	NA	4.672005759	0.461051877	0.119641621	FALSE	FALSE
FAM131B	HGNC:22202	0.99092	0.256	0.746048102	NA	3.986488079	0.509579338	0.136855456	FALSE	FALSE
PCGF5	HGNC:28264	0.98007	0.303	0.816210993	NA	3.018818725	0.633312014	0.131063786	FALSE	FALSE
USP5	HGNC:12628	0.96396	0.316	0.960926828	NA	NA	0.560372377	0.159060712	FALSE	FALSE
RNASET2	HGNC:21686	0.00026891	0.961	0.739571342	NA	3.074565477	0.385372427	0.785965587	FALSE	TRUE
METTL5	HGNC:25006	5.17E-05	1.262	0.174066343	NA	2.253379088	0.498313824	0.802677045	FALSE	TRUE
EDNRB	HGNC:3180	NA	NA	0.377840583	1	2.473986185	NA	NA	FALSE	TRUE
PSAP	HGNC:9498	0.99051	0.285	0.56714493	NA	0.913835065	0.320487408	0.221725853	FALSE	TRUE
MAGT1	HGNC:28880	NA	NA	NA	3	NA	NA	NA	FALSE	FALSE
GLIS3	HGNC:28510	5.60E-08	0.736	0.927695425	30	-0.868818148	0.36640535	0.554271481	FALSE	TRUE
SGCA	HGNC:10805	0.0027124	0.789	0.363318775	NA	2.878481938	0.33830036	0.754077597	TRUE	FALSE
MFRP	HGNC:18121	NA	NA	NA	30	3.546049366	NA	NA	TRUE	TRUE
CWF19L1	HGNC:25613	1.44E-15	1.15	0.334111227	NA	2.647881698	0.42138185	1.147668425	TRUE	TRUE
WDR7	HGNC:13490	1	0.181	0.943267101	NA	1.660261566	0.54102893	0.166978196	FALSE	FALSE
PIGB	HGNC:8959	3.85E-11	1.063	0.288745021	NA	3.887480499	0.317578998	1.225463393	FALSE	TRUE
TAF1	HGNC:11535	NA	NA	NA	NA	NA	0.620164709	NA	FALSE	TRUE
TAOK1	HGNC:29259	0.99787	0.274	0.967695761	3	1.48225758	0.598653754	0.154771356	FALSE	TRUE
ARK2C	HGNC:31696	0.97194	0.317	0.949053065	NA	3.238114051	0.460766627	0.087606514	FALSE	FALSE
BAP1	HGNC:950	0.99443	0.277	0.681812416	3	0.195603139	0.590550593	0.192410572	TRUE	TRUE
HESX1	HGNC:4877	0.00079734	1.237	0.2435359	NA	2.678952638	NA	1.39231283	TRUE	TRUE
AEBP1	HGNC:303	7.35E-11	0.64	0.406375453	NA	1.922852166	0.386560879	0.946141717	TRUE	FALSE
SOX3	HGNC:11199	0.44948	0.855	NA	0	NA	0.452617304	NA	FALSE	TRUE
PTPRC	HGNC:9666	1	0.207	0.698706677	NA	2.282744285	0.384879631	0.115019093	FALSE	FALSE
B3GALNT2	HGNC:28596	2.81E-07	0.843	0.666602542	30	2.195339391	0.406057886	0.997762554	TRUE	TRUE
NPHP3	HGNC:7907	9.84E-16	0.649	0.280174322	NA	2.115251149	0.394475897	0.790001934	FALSE	TRUE
RAG1	HGNC:9831	2.77E-05	0.736	0.267108184	30	1.727147759	0.49630801	1.027786472	FALSE	TRUE
CDH8	HGNC:1767	0.98806	0.295	0.772301294	NA	2.434177741	0.52790223	0.177638779	FALSE	FALSE
HSD17B4	HGNC:5213	NA	NA	0.427212758	30	0.135651538	0.386210356	0.710756119	TRUE	TRUE
ANP32A	HGNC:13233	0.98961	0.218	0.88028298	NA	0.266078293	0.569887979	0.131446664	FALSE	FALSE
HERC1	HGNC:4867	1	0.24	0.979482482	NA	3.799920786	0.55962101	0.158002969	TRUE	TRUE
TFAP2D	HGNC:15581	0.99199	0.252	0.89028985	NA	0.964670464	0.536534085	0.123821262	FALSE	FALSE
SNRPN	HGNC:11164	NA	NA	0.134102146	0	2.146084108	0.658919057	0.401418332	FALSE	TRUE
UTP15	HGNC:25758	0.99993	0.11	0.786402206	NA	1.791944922	0.435374545	0.079624315	FALSE	FALSE
TM9SF3	HGNC:21529	0.99999	0.09	0.966485809	NA	4.564185259	0.691483673	0	FALSE	FALSE
EEF1G	HGNC:3213	0.99967	0.173	0.893267797	NA	2.024621795	0.558698201	0.171329867	FALSE	FALSE
E2F7	HGNC:23820	0.99317	0.285	0.918877852	NA	2.16637957	0.286427072	0.267016128	FALSE	FALSE
MYLK	HGNC:7590	9.17E-12	0.528	0.711645889	1	3.2507082	0.481207027	0.419536057	FALSE	TRUE
THSD7A	HGNC:22207	1	0.215	0.744747421	NA	5.134027228	0.409996402	0.192919554	FALSE	FALSE
DENND4A	HGNC:24321	0.99627	0.28	0.968936918	NA	2.143364022	0.433408372	0.229097968	FALSE	FALSE
ROR2	HGNC:10257	0.00012401	0.558	0.823552552	0	3.706274918	0.438621529	0.48087406	FALSE	TRUE
SAFB2	HGNC:21605	0.99979	0.228	0.980788549	NA	2.462330467	0.340679632	0.234382408	FALSE	FALSE
MAMLD1	HGNC:2568	NA	NA	NA	NA	NA	0.288066127	NA	FALSE	TRUE
SORT1	HGNC:11186	0.99987	0.212	0.636417344	NA	1.834640389	0.45817168	0.186058607	FALSE	FALSE
CHAF1A	HGNC:1910	1	0.118	0.982299731	NA	0.936611728	0.32785033	0.0931877	FALSE	FALSE
TRIM67	HGNC:31859	0.96542	0.326	0.988644254	NA	3.669518847	0.553421648	0.224953382	FALSE	FALSE
DPF1	HGNC:20225	0.99049	0.285	0.712114724	NA	3.530091314	0.586651056	0.218995269	FALSE	FALSE
GNAS	HGNC:4392	NA	NA	0.938444701	3	5.008680184	0.411560817	0	TRUE	TRUE
UFM1	HGNC:20597	0.15655	1.035	0.123977868	NA	0.992349645	0.796561961	1.849538925	FALSE	TRUE
CLPB	HGNC:30664	NA	NA	0.288786074	NA	1.892464483	0.464412954	0.467744816	FALSE	TRUE
GAS8	HGNC:4166	1.09E-12	1.188	0.344590539	NA	1.60449777	0.288060052	1.179556705	TRUE	TRUE
PRKCE	HGNC:9401	0.99988	0.2	0.991187896	NA	4.246542122	0.639540938	0.118822736	FALSE	FALSE
ALG8	HGNC:23161	1.18E-08	0.83	0.109051219	NA	2.331689944	0.408301769	1.036944622	TRUE	TRUE
HPS1	HGNC:5163	NA	NA	0.240159646	30	4.523416522	NA	0.842485295	FALSE	TRUE
KDM6B	HGNC:29012	NA	NA	0.890345055	1	3.413424526	0.432644793	0.138952264	TRUE	TRUE
SGCE	HGNC:10808	NA	NA	0.668983441	3	2.428950956	NA	NA	TRUE	FALSE
DOCK3	HGNC:2989	1	0.158	0.964386836	NA	4.31191671	0.542666539	0.125274307	FALSE	FALSE
SF3A3	HGNC:10767	1	0.119	0.904533567	NA	2.708008935	0.699335151	0.049148558	FALSE	FALSE
CUL7	HGNC:21024	NA	NA	0.351170903	NA	3.022190817	0.345191619	0.607828262	TRUE	TRUE
CALD1	HGNC:1441	0.99879	0.258	0.987149945	NA	3.456603231	0.345787319	0.201329275	FALSE	FALSE
GCK	HGNC:4195	NA	NA	0.706635502	NA	3.01783227	0.538527711	0.325374712	TRUE	FALSE
CPT1A	HGNC:2328	5.11E-09	0.661	0.327200296	30	6.327805285	0.478827053	0.642416398	TRUE	FALSE
UBP1	HGNC:12507	0.99999	0.088	0.990891573	NA	0.970418145	0.526537986	0.079152551	FALSE	FALSE
CCT3	HGNC:1616	0.99998	0.097	0.799904734	NA	2.299758227	0.575938159	0.055269145	FALSE	FALSE
COASY	HGNC:29932	NA	NA	0.198657604	NA	1.699392231	0.345791897	1.327345124	FALSE	TRUE
UVSSA	HGNC:29304	5.41E-25	1.48	0.67617172	30	3.444219775	0.304907036	1.510764223	TRUE	TRUE
VPS13B	HGNC:2183	NA	NA	0.433968575	30	2.896167533	0.400980858	0.694005389	TRUE	TRUE
UNC5D	HGNC:18634	0.92929	0.33	0.886049172	NA	1.570843565	0.467218638	0.272446603	FALSE	FALSE
NEUROD2	HGNC:7763	0.94202	0.332	0.746485345	NA	2.696607056	0.506405846	0.090784985	FALSE	FALSE
KIRREL3	HGNC:23204	0.96992	0.318	0.976436501	NA	6.143008635	0.466759056	0.259913881	FALSE	FALSE
TNRC18	HGNC:11962	0.99093	0.287	0.97631203	NA	5.036953762	NA	0.324380481	FALSE	FALSE
PKN2	HGNC:9406	1	0.15	0.933522049	NA	1.146957004	0.558643117	0.132504725	FALSE	FALSE
BRINP1	HGNC:2687	0.99251	0.284	0.9318584	NA	4.709234484	0.601363973	0.20043471	FALSE	FALSE
PRR12	HGNC:29217	1	0.051	0.969405958	NA	-0.14071382	0.489463994	0.012287881	FALSE	TRUE
KBTBD2	HGNC:21751	0.99795	0.234	0.969663468	NA	2.310116105	0.465504297	0.09986408	FALSE	FALSE
TSHB	HGNC:12372	0.0083588	1.805	0.14485824	NA	1.114138271	0.36387281	1.363400175	FALSE	TRUE
IFT52	HGNC:15901	2.01E-06	0.866	0.109317708	NA	NA	0.376387133	1.000963044	FALSE	TRUE
HBB	HGNC:4827	1.23E-09	1.978	0.10228483	NA	NA	NA	5.085260477	TRUE	FALSE
ILF2	HGNC:6037	0.9965	0.247	0.747090024	NA	3.112759119	0.681419774	0.141320071	FALSE	FALSE
MYO3A	HGNC:7601	NA	NA	0.118889785	30	2.654479771	NA	NA	TRUE	FALSE
SHANK3	HGNC:14294	1	0.123	0.99127774	3	3.337650258	NA	0.091881592	TRUE	TRUE
CUL4B	HGNC:2555	NA	NA	NA	3	NA	0.604419948	NA	TRUE	TRUE
NT5C2	HGNC:8022	NA	NA	0.574259079	NA	2.090047877	0.639948612	0.71595178	TRUE	FALSE
RAB23	HGNC:14263	NA	NA	0.170399288	NA	2.496829613	0.560294595	0.644437735	FALSE	TRUE
FOSB	HGNC:3797	0.97553	0.3	0.855892443	NA	2.003106172	0.443348091	0.33985973	FALSE	FALSE
BAG3	HGNC:939	0.61738	0.447	0.767372577	3	2.613430053	0.28271078	0.237376665	FALSE	FALSE
MDGA1	HGNC:19267	0.97574	0.311	0.934659824	NA	2.925107797	0.475845967	0.288701566	FALSE	FALSE
PRKCG	HGNC:9402	0.99985	0.203	0.886592351	NA	6.282735828	0.663832484	0.200243709	FALSE	FALSE
CEP104	HGNC:24866	1.23E-12	0.743	0.771892414	NA	3.339310905	0.344268405	0.744502799	TRUE	TRUE
COG5	HGNC:14857	9.77E-20	0.965	0.135271176	NA	0.142877838	0.39986483	1.100983988	TRUE	TRUE
PMS2	HGNC:9122	4.52E-27	1.266	0.725952266	NA	2.746213037	0.380373569	1.178469053	TRUE	TRUE
LENG8	HGNC:15500	0.99938	0.248	0.831496117	NA	4.330433747	0.460200318	0.119423102	FALSE	FALSE
LAMP2	HGNC:6501	NA	NA	NA	3	NA	0.318176399	NA	TRUE	TRUE
TWIST2	HGNC:20670	NA	NA	0.866065103	30	4.727069239	NA	NA	FALSE	TRUE
ACP5	HGNC:124	NA	NA	0.477048229	30	2.689317837	0.459852603	NA	FALSE	TRUE
GRM4	HGNC:4596	0.99307	0.285	0.789650495	NA	4.845093747	0.562941976	0.220861658	FALSE	FALSE
SLC35D1	HGNC:20800	0.00035546	0.784	0.348283557	30	1.073316971	0.52012762	0.836121744	FALSE	TRUE
ESPL1	HGNC:16856	1	0.159	0.802314379	NA	2.72621725	0.291600383	0.091303861	FALSE	FALSE
GLIS2	HGNC:29450	NA	NA	0.85497102	NA	3.34068401	0.491600356	0.261341088	FALSE	TRUE
DHODH	HGNC:2867	0.0029884	0.778	0.524688533	30	1.869435202	0.445173096	0.813632452	FALSE	TRUE
TAF5L	HGNC:17304	0.99904	0.193	0.986088193	NA	4.016722592	0.405303547	0.152943937	FALSE	FALSE
MSL3	HGNC:7370	0.99665	0.178	NA	NA	NA	0.502267358	NA	FALSE	TRUE
RABGAP1	HGNC:17155	1	0.078	0.987211965	NA	2.299544006	0.536590818	0.025348856	FALSE	TRUE
ANO8	HGNC:29329	0.95634	0.317	0.732588217	NA	NA	0.463137171	0.439985587	FALSE	FALSE
SAE1	HGNC:30660	0.9876	0.269	0.877200564	NA	0.865570257	0.467219302	0.144795332	FALSE	FALSE
YTHDF1	HGNC:15867	0.9942	0.241	0.856846653	NA	3.583591041	0.468985158	0.206540432	FALSE	FALSE
KCNA2	HGNC:6220	NA	NA	0.829071074	NA	2.026201493	0.5981828	0.192253046	FALSE	TRUE
CHD6	HGNC:19057	1	0.073	0.983661656	NA	2.854625765	0.432595171	0.070972633	FALSE	FALSE
NPC1	HGNC:7897	6.54E-06	0.486	0.667722882	30	3.152011073	0.401364765	0.642496722	FALSE	TRUE
PEX13	HGNC:8855	5.90E-05	1.015	0.373826523	NA	0.21687794	0.400474823	0.735247796	FALSE	TRUE
EPCAM	HGNC:11529	1.28E-07	1.159	0.510533247	30	2.866869216	0.447270695	0.997734283	FALSE	TRUE
POU4F1	HGNC:9218	0.88762	0.421	0.980008612	NA	1.572103596	0.598967636	0	FALSE	TRUE
PDZRN3	HGNC:17704	0.98471	0.303	0.953645698	NA	1.93658629	0.491930841	0.229117194	FALSE	FALSE
LRRC56	HGNC:25430	7.68E-10	1.245	0.479145872	NA	NA	0.224811143	1.627945888	FALSE	TRUE
B4GALT5	HGNC:928	0.99889	0.151	0.960598425	NA	2.46680965	0.524466205	0.13417715	FALSE	FALSE
ANP32B	HGNC:16677	0.95827	0.331	0.956071228	NA	1.802802906	0.525345023	0.078876629	FALSE	FALSE
PQBP1	HGNC:9330	NA	NA	NA	3	NA	0.604803996	NA	TRUE	TRUE
KCNJ10	HGNC:6256	NA	NA	0.226045364	NA	3.794251787	NA	NA	FALSE	TRUE
BMP4	HGNC:1071	0.9564	0.334	0.989459724	2	1.59134481	0.513724109	0.099836983	TRUE	TRUE
FBXO45	HGNC:29148	0.97063	0.274	0.965889509	NA	9.839336163	0.674287252	0	FALSE	FALSE
CAD	HGNC:1424	0.99993	0.251	0.983061165	NA	2.380847378	0.541282163	0.207392573	FALSE	TRUE
PPAT	HGNC:9238	0.98606	0.296	0.671584746	NA	2.634844128	0.529585017	0.208081974	FALSE	FALSE
LINS1	HGNC:30922	2.37E-07	0.962	0.876154656	30	NA	0.238854023	1.004671972	TRUE	TRUE
PIAS2	HGNC:17311	0.99718	0.254	0.935043475	NA	4.240926326	0.52457241	0.153038584	FALSE	FALSE
FLNC	HGNC:3756	0.99994	0.25	0.978633046	3	3.584693956	0.529858603	0.239115744	TRUE	FALSE
DENND5B	HGNC:28338	1	0.155	0.961705834	NA	1.748340085	0.539243456	0.087770109	FALSE	FALSE
HDAC8	HGNC:13315	0.97707	0.297	NA	3	NA	0.581046199	NA	TRUE	TRUE
ELN	HGNC:3327	2.14E-14	0.871	0.437621942	3	3.754729628	0.460507765	0.679944516	TRUE	TRUE
CLCN1	HGNC:2019	3.25E-20	0.994	0.677702081	NA	3.606188655	0.423672153	1.077760288	TRUE	FALSE
NTN1	HGNC:8029	0.99687	0.222	0.98600765	NA	4.44481802	0.601844886	0.119079213	FALSE	FALSE
PSMD1	HGNC:9554	1	0.118	0.983147847	NA	2.042161417	0.629455972	0.043573761	FALSE	FALSE
TNFRSF1A	HGNC:11916	0.9949	0.236	0.946129003	NA	5.769405911	0.339083845	0.129242179	FALSE	FALSE
MAB21L2	HGNC:6758	0.43769	0.549	0.564042208	NA	3.151984297	0.670758332	NA	FALSE	TRUE
HPS6	HGNC:18817	0.00027656	0.714	0.101289908	NA	1.659102233	0.30500832	NA	FALSE	TRUE
CASKIN2	HGNC:18200	0.99971	0.232	0.792285267	NA	3.273258752	0.419392965	0.258328152	FALSE	FALSE
EEA1	HGNC:3185	0.92875	0.304	0.956814927	NA	1.894230966	0.295102233	0.307650378	FALSE	FALSE
KDM6A	HGNC:12637	NA	NA	NA	3	NA	0.481418312	NA	TRUE	TRUE
FLG	HGNC:3748	0.00028793	1.96	0.105869142	3	2.595573124	0.217380433	2.010415154	FALSE	FALSE
TBX5	HGNC:11604	NA	NA	0.996492172	3	2.752909108	0.497151233	0.07005071	TRUE	TRUE
HPS5	HGNC:17022	1.90E-13	0.733	0.815199872	NA	2.718330515	0.336405065	0.821787837	TRUE	TRUE
VCPIP1	HGNC:30897	1	0.119	0.938412838	NA	1.237088925	0.500878335	0.045948145	FALSE	FALSE
RTN4RL1	HGNC:21329	0.96024	0.297	0.988807834	NA	4.891746576	0.451119833	0.063636999	FALSE	FALSE
IRF1	HGNC:6116	0.9909	0.256	0.562970921	NA	4.240132851	0.444449555	0.132793504	FALSE	FALSE
GRIN1	HGNC:4584	NA	NA	0.929135373	NA	3.894601272	0.672422303	0.335774976	FALSE	TRUE
RC3H1	HGNC:29434	0.99309	0.287	0.982249337	NA	4.226142208	0.44698347	0.242102044	FALSE	FALSE
DCAF5	HGNC:20224	1	0.078	0.99562667	NA	2.627567342	0.45030404	0.036365261	FALSE	FALSE
HSPG2	HGNC:5273	1.04E-19	0.412	0.740859009	30	2.560135846	0.367604582	0.408913018	TRUE	TRUE
PLEKHA5	HGNC:30036	1	0.098	0.988208492	NA	2.233203935	0.408728291	0.061537877	FALSE	FALSE
CNGB1	HGNC:2151	1.84E-37	1.153	0.101423392	30	3.211321139	0.350114027	1.239766429	TRUE	TRUE
BCKDHA	HGNC:986	9.82E-09	1.032	0.257096386	NA	0.633408735	0.561604265	0.97795592	TRUE	TRUE
PUS1	HGNC:15508	0.0016656	0.855	0.694350608	NA	1.059432594	0.393528194	0.812398086	FALSE	TRUE
TPP2	HGNC:12016	NA	NA	0.985703591	NA	1.819296987	0.507696818	0.202232523	FALSE	TRUE
HPDL	HGNC:28242	2.26E-05	1.433	0.124118809	NA	3.176439667	0.335040265	NA	FALSE	TRUE
ASAP2	HGNC:2721	0.99996	0.22	0.985001903	NA	3.48542119	0.54149143	0.178574379	FALSE	FALSE
RELA	HGNC:9955	0.99948	0.181	0.566165315	NA	3.723227255	0.514114362	0.161935054	FALSE	FALSE
SLC35A2	HGNC:11022	0.71792	0.559	NA	3	NA	0.516301588	NA	FALSE	TRUE
PDE6H	HGNC:8790	0.0082921	1.807	0.164246885	NA	1.696072876	0.682078566	1.331305963	FALSE	TRUE
CBFB	HGNC:1539	0.9589	0.33	0.855005952	0	2.108228524	0.707204652	0.148142696	FALSE	FALSE
MYO7A	HGNC:7606	1.61E-38	0.848	0.561276937	NA	2.381203229	0.590292439	0.884255659	TRUE	TRUE
CCDC103	HGNC:32700	0.00050909	1.359	0.173921028	30	3.558098006	NA	0.750071039	FALSE	TRUE
NR2E1	HGNC:7973	0.99864	0.156	0.969721836	NA	2.805206593	0.632489945	0.134373314	FALSE	FALSE
COQ4	HGNC:19693	3.40E-09	1.581	0.398871263	NA	3.075164854	0.397403012	1.646968635	TRUE	TRUE
SPTBN4	HGNC:14896	NA	NA	0.911186317	NA	3.721455924	0.482683852	0.162208414	FALSE	TRUE
CRB1	HGNC:2343	5.63E-16	0.829	0.210548685	NA	1.731871539	0.265171449	0.729221392	FALSE	TRUE
FAM20A	HGNC:23015	2.15E-07	0.865	0.905207263	NA	3.294397435	0.447061404	1.359295513	FALSE	TRUE
DNAJB2	HGNC:5228	5.44E-05	1.027	0.181410509	NA	3.851561803	0.407079117	0.553738541	TRUE	FALSE
HIVEP3	HGNC:13561	0.90584	0.313	0.932326886	1	3.235817204	0.304704942	0.191436041	FALSE	FALSE
DNMT3B	HGNC:2979	0.19964	0.375	0.214904479	NA	2.982311628	0.506592719	0.236280894	FALSE	TRUE
VDAC1	HGNC:12669	0.97266	0.306	0.776828554	NA	3.076040497	0.579070467	0.119062699	FALSE	FALSE
PFKM	HGNC:8877	NA	NA	0.481170968	NA	1.074308655	0.643462416	0.715832838	TRUE	FALSE
IRF6	HGNC:6121	0.99961	0.132	0.996582227	3	3.185026862	0.52729776	0.034551862	TRUE	TRUE
EBF1	HGNC:3126	0.99697	0.256	0.997866229	NA	3.833812365	0.693132454	0.119270862	FALSE	FALSE
PLOD2	HGNC:9082	6.70E-08	0.638	0.28071331	30	2.148229	0.505729101	0.536700431	FALSE	TRUE
L2HGDH	HGNC:20499	4.22E-05	0.787	0.212557258	NA	-0.373534175	0.424320795	0.768795396	TRUE	TRUE
RCOR3	HGNC:25594	0.988	0.292	0.981343018	NA	5.03437411	0.563840043	0.192023072	FALSE	FALSE
BCKDHB	HGNC:987	4.31E-09	1.103	0.199252053	30	0.225626251	0.533480809	1.469035772	FALSE	TRUE
CR2	HGNC:2336	4.74E-19	0.879	0.509909496	NA	2.256779944	0.291223332	0.790560388	TRUE	FALSE
